index	premise	hypothesis	gold_label	number of correct responses (out of 100)
5139	In the original, Reich is set up by his host and then ambushed by a hostile questioner named John, and when he tries to answer with an eloquent Mr. Smith speech (My fist is clenched.	Reich's host is out to get him.	entailment	24
5140	17 "Surely you are not thinking of refusing? 	Its an opportunity of a lifetime you can't be thinking of turning it down?	neutral	100
5141	Regulation M is adopted under the Securities Act, 15 U.S.C.	Regulation M seeks to deter fraud.	neutral	100
5142	'I don't know what happened, exactly.' I said.	Something strange was going on.	neutral	95
5143	With him was the evil-looking Number 14.	Number 14 was ugly.	neutral	1
5144	8 A stoichiometry of 1.03 is typical when the FGD process is producing gypsum by-product, while a stoichiometry of 1.05 is needed to produce waste suitable for a landfill.	A stoichiometry of 1.03 is typical when the FGD process is not producing gypsum by-product	contradiction	98
5145	it sure will well good to talk to	Let's talk again soon.	neutral	100
5146	Steps are initiated to allow program board membership to reflect the clienteligible community and include representatives from the funding community, corporations and other partners.	There's enough room for 35-40 positions on the board.	neutral	100
5147	On Naxos, you can walk through the pretty villages of the Tragea Valley and the foothills of Mount Zas, admiring Byzantine churches and exploring olive groves at your leisure.	Instead of walking through the villages of Naxos you can also ride a bike.	neutral	100
5148	She did not reply.	She responded very quickly.	contradiction	100
5149	Endorphins were flowing.	I was very scared and my endorphins were flowing.	neutral	100
5150	The city plans to build a community center for Lincoln Place and a future fire station on the site.	The site has been identified for a potential community center and fire station.	entailment	100
5151	I ordered Better Sexual Techniques , Advanced Sexual Techniques , Making Sex Fun , and Advanced Oral Sex Techniques (priced about $11.	The orders I made were not being offered for free.	entailment	4
5152	He walked out into the street and I followed.	I watched him go but didn't follow.	contradiction	100
5153	Charles Geveden has introduced legislation that will increase the Access to Justice supplement on court filing fees.	Fortunately, Charles Geveden was able to make the government increase the budget for court filing fees.	neutral	100
5154	I can FEEL him."	I know he is near by.	neutral	44
5155	 The Romans never really infiltrated Ibiza, and even after the defeat of Hannibal in 202 b.c. during the Second Punic War their influence was restrained.	The Romans didn't infiltrate Ibiza because it wasn't valuable.	neutral	100
5156	Likewise, at their production decision reviews, these programs did not capture manufacturing and product reliability knowledge consistent with best practices.	Their production decision reviews located an anomaly in the data.	entailment	21
5157	A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.	The rock was impossible to get past, so a conventional siege didn't do much.	entailment	99
5158	He pointed at his bald head.	He pointed at his red curly hair.	contradiction	100
5159	You will remember my saying that it was wise to beware of people who were not telling you the truth."	There might be dishonest people around here.	neutral	98
5160	Two is enough for a secret.	The more people who know, the more secure the secret.	contradiction	0
5161	The fascinating exhibits include a section of the massive chain that the Byzantines used to stretch across the mouth of the Golden Horn to keep out enemy ships, as well as captured enemy cannon and military banners, the campaign tents from which the Ottoman sultans controlled their armies, and examples of uniforms, armour, and weapons from the earliest days of the Empire down to the 20th century.	The Byzantines were one of the richest empires in world history.	neutral	100
5162	Indeed, the Democratic counteroffensive has already begun.	Somebody or some group has a beef with another one and considers defensive moves as being 'counteroffensive'	neutral	100
5163	GAO's recommendations are intended to improve the economy, efficiency, and effectiveness of an agency's operations and to improve the accountability of the federal government for the benefit of the American people.	The GAO works for the benefit of the American people and it's government agencies.	entailment	27
5164	It's an interesting account of the violent history of modern Israel, and ends in the Scafeld Room where nine Jews were executed.	It's tells the story of Israel's peaceful ancient history and ends in the Scafelf Room where Moses was buried.	contradiction	100
5165	and the other thing is the cost it's almost prohibitive to bring it to a dealer	The cost makes it hard to bring it to a dealer.	entailment	100
5166	i don't know if you have a place there called uh or you probably have something similar we call it Service Merchandise	You probably have nothing like it.	neutral	0
5167	The South African priest who invited Clinton to do so is quoted in the paper as saying that once Clinton stood up, he was thinking about how much embarrassment it would have caused him by my saying, please sit down.	A South African priest once invited Clinton to do so in quoted paper. 	entailment	100
5168	oh older ones too i know a few of those	I know a few old ones.	entailment	100
5169	They were so sure of themselves that they took it for granted he had made a mistake."	They were unconfident so they were hesitant to think he might have made a mistake.	contradiction	100
5170	You will remember my saying that it was wise to beware of people who were not telling you the truth."	The people all tell you the truth.	contradiction	100
5171	It's a great novelty, but very expensive.	The novelty comes at a large price.	entailment	100
5172	The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.	The village is named after the explorer that landed on November 4, 1493.	entailment	100
5173	If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414.	The administrator shall reduce allowance for each unit. 	entailment	100
5174	Should we invite these young wealthies back to our comparatively humble, small home?	Our home is full of love and pets. 	neutral	25
5175	Randy's Anecdotal Wrap-Up	Randy's Introduction	contradiction	100
5176	yeah that's that's always nice when you have an animal that the kids can play with like that how old are the kids	It's good for kids to have a dog. 	neutral	99
5177	Daniel took it upon himself to explain a few things.	Daniel had no explanation.	contradiction	100
5178	According to the Natural Resources Conservation Service, this single, voluntary program will provide flexible technical, financial, and educational assistance to farmers and ranchers who face serious threats to soil, water, and related natural resources on agricultural and other lands, including grazing lands, wetlands, forest lands, and wildlife habitats.	This program aims to destroy all farms. 	contradiction	100
5179	You wonder what youre going to be when you grow up, lawyer Smith said. 	You want to be a lawyer when you grow up.	neutral	100
5180	I hate pigeons.	My disdain for pigeons is well warranted.	neutral	99
5181	In order to ensure these Americans are not left out of the justice system, a strong federal role in supporting legal services is vital.	Every american us entitled to legal aid	neutral	88
5182	that's really true a lot of it is um the color certain colors seem to be more acceptable	It doesn't make a difference what color one wears. 	contradiction	100
5183	huh-uh the the yeah see the Taurus Show has the spoiler kit and the and the big engine and the and stuff like that	The Taurus show had some spoiler kits.	entailment	100
5184	Sue me, Royko wrote.	"Sue me" Royko wrote. 	entailment	100
5185	Jerusalem was divided into east and west, under the control of Jordan and Israel respectively.	Jordan and Israel were still not on great terms with each other and refused trade.	neutral	96
5186	The great thing is to keep calm." Julius groaned.	Julius made a groaning sound when he heard the terrible advice.	entailment	0
5187	It is also sometimes called simply Beaubourg, after the 13th-century neighborhood that surrounds it.	It is usually referred to as Little Paris because of the many French immigrants.	contradiction	93
5188	The Report and Order, in large part, adopts the unanimous recommendations of the Hearing Aid Compatibility Negotiated Rulemaking Committee, an advisory committee established by the Federal Communications Commission in 1995.	The Federal Communications Commission has several Hearing Aid Committees.	neutral	100
5189	so we're expecting our local economy to	We have no expectations of our local economy.	contradiction	100
5190	For more than 26 centuries it has witnessed countless declines, falls, and rebirths, and today continues to resist the assaults of brutal modernity in its time-locked, color-rich historical center.	Modernity has made no progress in the historical center.	neutral	1
5191	Since the rules were issued as interim rules and not as general notices of proposed rulemaking, they are not subject to the Unfunded Mandates Reform Act of 1995.	The rules were  not issued as interim rules but rather general notices of proposed rulemaking.	contradiction	89
5192	no i i just painted	I just painted a huge mural depicting a tiger empaling a small dog. 	neutral	100
5193	Don't you remember? Today we're going to auntie Basia's birthday party.'	We are going to Aunt Basia's birthday party today, remember?	entailment	100
5194	oh i believe that uh mine would say the same uh but uh i seem too rely on them too much	I believe you and my kids would say the same thing but I think I might rely too much on their loyalty. 	neutral	100
5195	so who so if you go out and you're talking like a ten or fifteen thousand dollar vehicle and you add that sales tax on that's a that's a big chunk of change you have to come up with	Adding sales tax to a ten thousand dollar vehicle is not significant.	contradiction	100
5196	Such parties may include	The parties might involve	entailment	100
5197	It can be done, he said at last. 	It is possible. 	entailment	100
5198	83 At that point, Poirot nudged me gently, indicating two men who were sitting together near the door. 	The door was clear of anyone sitting near it.	contradiction	100
5199	i think we have too thank you very much you too bye-bye	I don't think we can thank you enough for your help.	neutral	0
5200	From the inventories of the initiatives they developed in response to our request, we asked agency officials to identify those agency components and initiatives that, in their view, had successfully involved and empowered employees.	Agency officials need to identify the components that helped their employees improve their performances.	entailment	20
5201	They greeted her and she smiled shyly back.	She smiled at the group.	entailment	100
5202	The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US.	The US market was ready for the cane plantations, according to the economists.	neutral	100
5203	There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude.	Experienced riders think that the roller coaster is too fast and scary.	contradiction	100
5204	The burden of his spiritual functions as high priest of Shinto and the tasks of administration led the emperor to welcome an early abdication, frequently to retire to a life of Buddhist meditation and scholarship.	The emperor was exhausted by his religious and political obligation, and abdicated early.	entailment	18
5205	'Not entirely,' I snapped, harsher than intended.	"Yes, entirely" I shouted just as harsh as I intended to.	contradiction	100
5206	In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.	For almost a decade, the main Republican theme was some form of populism.	entailment	100
5207	But overinterpretation or even misinterpretation are not the same as bias.	Overinterpretation and misinterpretation are not bias. 	entailment	94
5208	After three days of using the gel, my mouth has returned to its familiar self.	Within three days their mouth felt better after using the product.	entailment	99
5209	Sandstone and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar.	The Baroque chuch of Bom Jesus is a famous church made of sandstone and granite.	entailment	100
5210	Look here, you've been asking me a lot of questions.	Look here, you have barely asked me any question.	contradiction	100
5211	At the top of the hill is the imposing medieval fortress of Kadifekale.	The medieval castle of Kadifekale is located at the top of the hill.	entailment	100
5212	Because the paper did not say that.	The paper did not state as much.	entailment	100
5213	actually i think abortion's going to take a turn where there's not going to be as many because i think contraceptives are going to be more popular i mean i realize that they are popular now but i think	The rise in the use of contraceptives will push the abortion rate even higher.	contradiction	1
5214	Cases in Comparative	These cases can be related to criminals.	neutral	100
5215	Because of the casualties, Lind says, the United States would eventually have had to leave Vietnam anyway.	Lind thought the US would stay in Vietnam forever.	contradiction	100
5216	Supreme Court agreed Monday to hear a Washington case challenging the widespread practice of pooling client money held by lawyers and using the interest to pay for legal services for the poor.	The Supreme Court refused to hear a case about pooling client money.	contradiction	100
5217	If the company makes money on the policy, other insurers are expected to follow.	It's assumed other insurers will do the same if the company ends up with a profit from the policy. 	entailment	100
5218	With an area of just 541 sq km (209 sq miles), it is slightly smaller than the Isle of Man or twice Martha's Vineyard in Massachusetts.	Martha's Vineyard is less than half the size of the Isle of Man.	entailment	98
5219	Lucy screamed, I've got to know.	Lucy wanted to know, but nobody wanted to tell her.	neutral	73
5220	When he's ready for a major strike, how many innocents do you suppose are going to suffer? To quote one of your contemporaries; 'The needs of the many outweigh the needs of the few.' '	He won't do a big strike because of the innocent people.	contradiction	98
5221	As he stepped across the threshold, Tommy brought the picture down with terrific force on his head.	Tommy stepped across a threshold and put a picture down on his head.	entailment	100
5222	Oh my God, I'm actually intimidated by a Simulacra.	Simulacra evokes a feeling of intimidation in me. 	entailment	100
5223	From the corner of his eye he saw Jamus look over the broken mare.	Jamus saw the wounded warriors over the mare.	neutral	100
5224	Our review indicates that the Food and Drug Administration complied with the applicable requirements.	The FDS has suggestions but no regulations.	contradiction	100
5225	and maybe we'll run across each other again	We should do coffee if we ever meet again.	neutral	88
5226	Ricky Martin was filming his triumphant return to the gay porn industry.	Ricky Martin is heterosexual.	contradiction	100
5227	There is an exhibition of highland dress, showing how it developed through the centuries.	They don't discuss highland dress, only armour.	contradiction	100
5228	experiencing cost growth, manufacturing problems with test aircraft, and testing delays.	Testing is an integral part of making planes safe.	neutral	29
5229	Write, write, and write.	You should keep practicing writing.	neutral	97
5230	What changed?	What was different?	entailment	100
5231	no it didn't	It did not.	entailment	100
5232	uh but you could fill a whole bunch of uh holes with these things i used to i used to advertise buying wheat pennies um i'd give a dollar a roll which two cents a piece which is basically overpriced	I made a good dollar while selling them.	neutral	65
5233	they take the football serious	They think football is meaningless.	contradiction	100
5234	right after the war	The war was too long.	neutral	100
5235	The dramatic cliffs of the Serra de Tramuntana mountain range hug the coastline of the entire northwest and north, from Andratx all the way to the Cape of Formentor.	Andratx is on the northwest coast and the Cape of Formentor is further east.	neutral	1
5236	North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.	There is nothing special to see in the village of Moria.	contradiction	97
5237	Joseph Lister pioneered the use of carbolic acid to keep wounds clean, and James Young Simpson experimented with chloroform as an anesthetic.	Lister and Simpson developed new uses for medicine.	entailment	100
5238	Corroborating evidence is independent evidence that supports information in the database.	Corroborating evidence is not independent evidence.	contradiction	100
5239	The only comprehensible explanation is that the vocation that had burrowed in next to medicine had taken control, had insisted.	The only comprehensible explanation is that chiropractics had taken control of medicine.	neutral	74
5240	Chatterbox queried Trudeau about the Dallas Morning News quote.	Chatterbox didn't bother contacting Trudeau about his Dallas Morning News quote.	contradiction	100
5241	I touched my palm to his mutilated cheek, and tried to stem my instinctive revulsion.	Luckily both of his cheeks remained unharmed. 	contradiction	100
5242	And the trunk? Big? Mother asked again to keep up appearances.	Mother, trying to keep up appearances, asked if the trunk was big and shiny.	neutral	100
5243	Clinton used a floor mop to clean up the dirt he had tracked onto the shiny floor of an elementary school.	Clinton tracked dirt onto the floor of a high school and left without cleaning it.	contradiction	100
5244	To reach any of the three Carbet falls, you must continue walking after the roads come to an end for 20 minutes, 30 minutes, or two hours respectively.	To reach any of the three Carbet falls you can take any of the three paths, it doesn't matter which because they are all the same length.	contradiction	100
5245	I should put it this way. 	I should phrase it differently.	entailment	0
5246	These alone could have valuable uses.	They aren't valueable. 	contradiction	100
5247	Last year, Arafat cracked down on Hamas after a string of bombings in Tel Aviv and Jerusalem, arresting more than 1,200 suspected terrorists, destroying Hamas safe houses, and confiscating its weapons caches.	Arafat later released 500 of the suspected terrorists.	neutral	100
5248	Not surprisingly, then, Fannie Mae's public-relations operation is unparalleled in Washington.	Fannie Mae has great public-relations.	entailment	100
5249	now that's a good idea	The idea is a good one.	entailment	100
5250	It was worth the trip for that.	Someone gained something from it.	entailment	97
5251	'Wait here,' I was ordered.	He told me to wait.	entailment	100
5252	Diamonds are graded from D to X, with only D, E, and F considered good, D being colorless or  river white,  J  slightly tinted,  Q  light yellow,  and S to X  yellow.  	Diamonds are rated alphabetically, the ones from D to F are considered the best.	entailment	4
5253	The last thing we want is any more attention or any more bounty hunters.	They thought than more attention would make it harder to hide. 	neutral	100
5254	For a review of the literature, see William G. Gale and John Sabelhaus, Perspectives on the Household Saving Rate, Brookings Papers on Economic Activity (1:1999), pp. 181-224.	Some resources are available for further information and include Gale/Sabelhaus, Perspectives on the Household Saving Rate, published in 1999.	entailment	100
5255	These gardens used to belong to the governor's mountain lodge, but the building was demolished by the Japanese during the occupation of Hong Kong.	The Japanese had twenty thousand soldiers occupying Hong Kong.	neutral	100
5256	She had the pathetic aggression of a wife or mother--to Bunt there was no difference.	Bunt didn't differentiate from a wife's or mother's agression.	entailment	98
5257	away from the children	No adults allowed near the children	neutral	100
5258	my goodness it's hard to believe i didn't think there was anybody in the country who hadn't seen that one	I thought I was the only one in this country who had seen it. 	contradiction	0
5259	He threw one of them and shot the other.	He shot his gun.	entailment	98
5260	Exhibit 3 presents total national emissions of NOx and SO2 from all sectors, including power.	In Exhibit 3 there are the total national emissions od NOx and SO2 from all sectors, said the report.	entailment	0
5261	It spoke of thousands of years, even before the times of the old empire.	The old Empire died out.	neutral	100
5262	After the execution of Guru Tegh Bahadur, his son, Guru Gobind Singh, exalted the faithful to be ever ready for armed defense.	Guru Tegh Bahadur has a son named Guru Gobind Singh	entailment	100
5263	8 million in relief in the form of emergency housing.	The 8 million dollars for emergency housing was still not enough to solve the problem.	neutral	100
5264	I had an additional reason for that belief in the fact that all the cups found contained sugar, which Mademoiselle Cynthia never took in her coffee. 	There was evidence that there had been sugar in all of the cups.	entailment	100
5265	The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.	If you'd like to experience the city sights taking the bus is the best mode of transportation, though taking the subway is faster. 	entailment	100
5266	'I don't suppose you could forget I ever said that?'	Would you please forget that I threatened to kill your mom?	neutral	100
5267	For example, if Ovitz's five-year deal was worth, say, $100 million, and if the compensation committee had added to that a front-end grant of free Disney shares worth, say, $50 million, then--assuming that Ovitz finished his five-year contract period--the cost to Disney would be $150 million.	This is not conjecture.	neutral	90
5268	You wonder whether he could win a general election coming out of the right lane of the Democratic Party.	He might run in a general election while he is a conservative Democrat.	neutral	30
5269	Most of the dances are suggestive of ancient courtship rituals, with the man being forceful and arrogant, the woman shyly flirtatious.	Majority of the dances are influenced by hip hop.	contradiction	85
5270	As discussed in section 1, personal saving is the amount of aggregate disposable personal income left over after personal spending on goods and services.	Personal saving is how much disposable personal income is left over after personal spending.	entailment	100
5271	Jon replaced Susan's cloak with a white robe and a head scarf, also quite dirty.	Jon replaced the cloak with a robe. 	entailment	100
5272	Under the default method, eighty percent of the total amount of sulfur dioxide allowances available for allocation each year will be allocated to Acid Rain Program units with coal as their primary or secondary fuel or residual oil as their primary fuel, listed in the Administrator's Emissions Scorecard 2000, Appendix B (2000 Data for SO2, NOx, CO2, Heat Input, and Other Parameters), Table B1 (All 2000 Data for All Units).	80% of the sulfur dioxide allowance for each year is in the Acid Rain Program, stemming from coal.	entailment	100
5273	um-hum they have socialized socialized health care	They have socialized health care since 1957	neutral	100
5274	In the summer, the Sultan's Pool, a vast outdoor amphitheatre, stages rock concerts or other big-name events.	The Sultan's Pool only hosts concerts in winter and spring.	contradiction	100
5275	Do you trust me, Uncle?Gauve hesitated.	Jon was wondering if Gauve's uncle trusted him.	entailment	0
5276	A new guideline, for example, may tell us to send heart surgery patients home earlier.	A new guideline may open up more hospital beds for other incoming patients.	neutral	100
5277	Intifada to the Present	The extending from the Palestinian uprising until today.	entailment	92
5278	The materials then are searched for counterevidence and subsidiary or branching paths are laid out.	No materials are searched for counterevidence.	contradiction	100
5279	She seemed so different  "	She seemed the same as always.	contradiction	100
5280	1) FBI intelligence files indicate that Democratic fund-raiser Maria Hsia has been a Chinese agent.	It was found that Maria Hsia was a Chinese agent for more than 10 years.	neutral	100
5281	INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.	Interest rate is defined as the total amount of money borrowed. 	entailment	8
5282	The Congress also told LSC that it could not continue to fund its grantees presumptively and that it must begin to distribute its funds on a competitive basis.	Congress told LSC to give grantees funds presumptively and not do distribute funds on a competitive basis. 	contradiction	91
5283	Cornwall Beach, another private beach with perfect sand and sheltered waters, can be found behind the Jamaica Tourist Office building, a short distance east along Gloucester Avenue.	Another one, Cornwall Beach is located behind the tourist office.	entailment	100
5284	Though prehistoric remains from the Paleolithic, Neolithic, and Bronze Ages have been unearthed in the Manzanares Valley, prior to Madrid's sudden elevation to capital city in 1561 its history was rather undistinguished.	There were remains in the Manzanares Valley.	entailment	100
5285	Also, under credit reform, the credit subsidy cost is recorded as an outlay when a direct or guaranteed loan is disbursed.	When a direct loan is disbursed, the credit subsidy cost will be recorded as an outlay under the reform.	entailment	100
5286	You will also see  hippie-made  jewellery on sale, especially at the market in Punta Arab?­.	The Punta Arab market does not have a jewelry section. 	contradiction	100
5287	Kyoto's kabuki troupe performs in December and Osaka's in May.	Osaka does not have a kabuki troupe.	contradiction	100
5288	Marriage is an important institution.	Marriage is crucial to society.	neutral	0
5289	Interesting Conflict Over Conflict of Interest	Sometimes there is a conflict of interest.	entailment	100
5290	i spent a number of years in the service as an intelligence analyst	I was only briefly in the service as a driver.	contradiction	100
5291	Kom Ombo is an unusual temple in that it is dedicated to two gods.	Standard in every way, Kom Ombo is a temple devoted to several deities. 	contradiction	100
5292	She hates me."	She does not like me. 	entailment	100
5293	Whether a government postal service can engage in these kinds of negotiations deserves serious study.	The postal service is very useful.	neutral	100
5294	you know things like that But i don't follow any team i check the scores the next morning and i know how everybody's doing and that suffices me But	It is enough for me to just check the scores in the morning.	entailment	97
5295	3 Accordingly, auditors performing financial audits need to be proficient in applying the AICPA standards and guidance contained in the SASs.	Auditors that perform financial audits have to be proficient with AICPA standards and guidance contained in the SASs	entailment	100
5296	More detailed implementation plans also will be necessary to address business system, processes, and resource issues.	Less detailed plans will be necessary to address business systems 	contradiction	100
5297	According to Jane Langmuir, director of the project, water and heat come together and create a totally new appliance.	Jane Langmuir was not involved with the project in any way.	contradiction	100
5298	yeah the the i mean people like that are crazy i did a study on it though when i was in high school it was one of these things we had to pick a topic to to investigate and at that time i don't think it's like that any more but at that time uh it was very unfair capital punishment was a lot more  common and if you tended and it tended to be that if you were ignorant or if you were a foreigner or if you were black or any minority for that matter the chances your chances of of uh getting the death penalty were you know like hundreds of times greater than if you could just communicate well i mean you didn't have to be um you didn't even necessarily have to be white but if you could just communicate and you could come across in the court room with some kind of um	I never attended school, mom wouldn't let me.	contradiction	100
5299	yeah i've always threatened to take lessons but i've never gotten around to it	I threaten my wife to take lessons on how to cook so that she can't cook anymore. 	neutral	100
5300	This breakdown of PA-Israeli cooperation is the basis for the Israeli complaint that Arafat is culpable for last week's Jerusalem bombing.	This breakdown of PA-Israeli cooperation is the basis for Israeli complaints that Arafat is culpable for last weeks Jerusalem bombing and the ones before it.	neutral	100
5301	What idiots girls are! 	They thought the girls were stupid.	entailment	99
5302	 The tents had been burned, but there was a new building where the main tent had been.	The tents were in the way of the building.	neutral	23
5303	The central porch is still intact, depicting Jesus's entry into Jerusalem, the Crucifixion, and other scenes from the Bible.	The central porch was destroyed long ago.	contradiction	100
5304	I will practice The Look on old French ladies who are happy to have any old look at all, I say, and then, as I get the hang of it, move gradually into the big leagues.	I will practice the look on older French women.	entailment	100
5305	To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.	The architect lacked any notable skill.	contradiction	100
5306	it gets it	I guess it gets sunlight sometimes.	neutral	100
5307	From here it's all through the charming hillside village of Saint-Claude, with its upper-income homes, and on toward the summit or as far as the gendarmes are allowing traffic to proceed that day.	The charming hillside village of Saint-Claude has many upper-income homes.	entailment	100
5308	Standard screens may not perform as well in these patient subgroups that may represent a considerable part of the ED population.	The subgroups may not perform well in standard screens.	entailment	100
5309	In addition, the senior executives at these organizations demonstrated their sustained commitment to financerelated improvement initiatives by using key business/line managers to drive improvement efforts, attending key meetings, ensuring that the necessary resources are made available, and creating a system of rewards and incentives to recognize those who support improvement initiatives.	Senior executives showed their commitment to improvements by using key managers.	entailment	100
5310	Britons, however, trumpet their poet laureate as worthy of the ranks of Blake, Keats, Hardy and Auden (the Times of London).	Britons do not trumpet their poet laureate.	contradiction	100
5311	It hopes to bring on another 25 or 35 people when the new building opens next fall.	They already have a waiting list for the new building.	neutral	87
5312	The majority of the agencies that responded appreciated GAO's initiative to develop the protocols and said that they were comprehensive and provided a framework for meaningful communication.	The agencies that responded despised the initiative by GAO.	contradiction	100
5313	Not surprisingly, then, Fannie Mae's public-relations operation is unparalleled in Washington.	Fannie Mae has a public-relations team of forty.	neutral	100
5314	yeah right uh-huh that's right yeah you you have to work on you really do	You don't really have to work at it.	contradiction	100
5315	yeah i do remember that and uh i remember as a kid my parents watching the Ed Sullivan Show that was really the big deal in our household was the Ed Sullivan Show yeah i guess i guess it was a Saturday night and i went to see the movie The Doors a couple of days ago and they had this scene	I remember watching the Ed Sullivan Show when I was a kid.	entailment	100
5316	Do not talk.	You should start talking now.	contradiction	100
5317	They are levied through the power of the Government to compel payment, and the person or entity that pays these fees does not receive anything of value from the Government in exchange.	They are levied through the power of the Government to compel payment in cash only	neutral	100
5318	This formal Review Process guarantees representatives of every designated state planning body the right to direct communication with LSC officials at the highest level in seeking reconsideration of an LSC decision.	The formal Review Process guarantees representatives of every designated state planning body the right to direct communication.	entailment	100
5319	… I saw that I must lead two lives.	I must lead two lives. 	entailment	100
5320	but we're taking our time we're going uh try to make our decision by July	We are thinking of making the decision tomorrow.	contradiction	64
5321	Tell me, how did those scribbled words on the envelope help you to discover that a will was made yesterday afternoon?" Poirot smiled. 	Tell me, how could you tell from that text that a will was made yesterday afternoon?	entailment	20
5322	Like the Japanese, Chinese, and Portuguese before them, many of the new peoples would stay on in Hawaii, adding to the ethnic and racial mix that has become a hallmark of the islands.	Hawaii became very diverse.	entailment	91
5323	right right they left a woman and a child or the cat the sheep yeah	They were merciful in this regard, only taking the men as slaves.	neutral	32
5324	 "An egg has got to hatch," he said.	He said an egg must hatch.	entailment	100
5325	The experiment lasted only until Ahkenaten's death when almost all records relating to the King were destroyed.	The experiment ended with Ahkenaten's death when he was stabbed.	neutral	100
5326	Explanation building is the inverse  starting with the observations, the evaluator develops a picture of what is happening and why.	Observations are the starting point when explanation building.	entailment	97
5327	Other functional components of the Postal Service are presumed here not to exhibit significant scale economies, although this has not been demonstrated.	The Postal Service only operates very large scale economies.	contradiction	16
5328	what do you think about uh about our new governor since she happens to be a female	What do you think about our governor, regardless of the fact that she's female.	contradiction	78
5329	yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits	They definitely feel included, but they don't have any tax benefits. 	contradiction	100
5330	Matches are held only intermittently, however The Calcutta Cup Match, in early April, pits the Scots against their  auld  enemy the English and is a great spectacle.	The Calcutta Cup Match is seen by most to be one of the most boring events of a given year.	contradiction	100
5331	So many seemingly contrary and opposing factors combine to make it unique.	It is very bland and common place.	contradiction	100
5332	David Cope, a professor of music at the University of California at Santa Cruz, claims to have created a 42 nd Mozart symphony.	Music Professor David Cope who specializes in Mozart's music claims to have created Mozart's 42nd symphony.	entailment	75
5333	Upon commencement of commercial operation of each new utility unit under subpart 1 of part B, the unit shall comply with the requirements of subsection (a)(1).	the unit shall comply with the requirements of subsection a1 under certain conditions.	entailment	0
5334	 The second half of the book dealt with the use of the true name.	Using true names was covered in the second part of the book.	entailment	100
5335	And these are tough times for reviewers in general.	Reviewers, as a class, are struggling at the moment.	entailment	1
5336	well Jerry do you have a favorite team	Jerry, do you follow any sports?	neutral	58
5337	him?" she asked.	Her?" he asked with a shocked tone.	contradiction	74
5338	More works can be seen in the museum attached to the cathedral (admission is around 100 pe?­setas).	The museum is not attached to the cathedral.	contradiction	100
5339	At the least, he was hired in an attempt to influence administration China policy.	His attempts to influence the Chinese administration failed.	neutral	100
5340	Update on the Democratic fund-raising scandal : 1) President Clinton said FBI agents denied him advance warning about Chinese influence-buying efforts by telling his aides to keep the information secret.	Clinton said the agents had not told him anything about the issue.	entailment	75
5341	Their rights have been the source of conflicts in the central government.	Their rights have been an area of turmoil within the central government.	entailment	100
5342	The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.	The stresses affected people much diffferently than the researchers expected.	contradiction	0
5343	[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship, says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)	The woman did not recommend anyone read the book.	contradiction	100
5344	in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh	The town radio station never relied on any national news sources.	contradiction	93
5345	In my Crossfire days, I was patronized even by Sam Donaldson.	I had many many fans during my Crossfire days.	neutral	100
5346	Gordon, Robert J. Does the 'New Economy' Measure Up to the Great Inventions of the Past.	The past had no major inventions.	contradiction	100
5347	Any point you failed to win by rigging the questions and categories can be cleaned up in the executive summary (the pollster's spin) and the press release and news conference (the client's spin on the pollster's spin).	Any point you didn't get by fixing the questions cannot be added to the executive summary.	contradiction	97
5348	Each individual's survival curve, or the probability of surviving beyond a given age, should shift as a result of an environmental quality improvement.	Environmental quality should shift everyone's survival curve.	entailment	100
5349	Many users commented on the effectiveness of the new technology in promoting closer relationships among providers.	They were trying to upgrade their systems.	neutral	100
5350	i don't know how what it would take to be come up with a true perfect system or if one exists but	I can give you the solution that is the perfect answer.	contradiction	80
5351	The final rule was determined to be an economically significant regulatory action by the Office of Management and Budget and was approved by OMB as complying with the requirements of the Order on March 26, 1998.	The final rule was declared not to be an economically significant regulator action.	contradiction	100
5352	they ought to take all them little misdemeanor people let them go let them go	they shouldn't let go of the misdemeanor people	contradiction	100
